MaleAltmer,FemaleAltmer,FamilyAltmer,MaleArgonian,FemaleArgonian,FamilyArgonian,MaleBosmer,FemaleBosmer,FamilyBosmer,MaleBreton,FemaleBreton,FamilyBreton,MaleDunmer,FemaleDunmer,FamilyDunmer,MaleImperial,FemaleImperial,FamilyImperial,MaleKhajiit,FemaleKhajiit,FamilyKhajiit
Rumlerrubel,Vaerwyeien,,Swims-in-Spells,Sees-All-Colors,,Tholerthorn,,,Martin,Savinie,Lynielle,Adovon,Dematah,Marethi,,,,Pinumur,Surasha,
Rurelion,Vairaame,,Tames-the-Beast,Awas,,Thollebros,,,Martine,Segolene,Macile,Adrerel,Deminah,Maryon,,,,Purcy,Surdu,
Ruucaramil,Vairyehil,,Thick-Spine,Reelus,,Thollidor,,,Mavus,Seline,Maguadin,Adril,Denu,Mavani,,,,Puzhbar-jo,Suzabi,
Ruurifin,Valacarya,,Thinks-too-Much,Sanax,,Thollunil,,,Marwig,Seraphyne,Malanie,Aeren,Derami,Morvayn,,,,Qa'jahd,Suzali,
Ruuvitar,Valaste,,Thinks-With-Belly,Shei-Halu,,Thololin,,,Mathieu,Serine,Malhaven,Alarel,Derana,Mothren,,,,Qa'tesh,Tadali,
Samel,Valenn,,Three-Toes,Shusaja,,Tholongor,,,Mathon,Severine,Malloni,Alberic,Deria,Nasyal,,,,Qanliz,Tadari,
Sanamen,Valenwe,,Tips-the-Scales,Sigerthe,,Tholor,,,Mathys,Shaelle,Mallory,Aldam,Diina,Nelas,,,,Ra'darri,Taffisi,
Sanarel,Valinwe,,Touches-Keels,TeewajsiZollassa,,Tholralem,,,Matthew,Shalia,Malon,Aldryn,Dileni,Neloren,,,,Ra'Habasi,Tahadi,
Sanderion,Valla,,Trades-for-Gold,Peek-EreelSeif-ijHidja,,Thongonor,,,Matthiaume,Sirone,Mandin,Alexadrin,Dileno,Nethri,,,,Ra'jhad,Tahaibba,
Sanessalmo,Valowende,,Trades-with-Vigor,Vos-Huruk,,Thonoras,,,Matthieu,Sosia,Manette,Almas,Dilvene,Omoran,,,,Ra'kardru,Tahara,
Sanodil,Valsirenn,,Trills-So-Sweet,Xil-Go,,Thorianion,,,Matys,Sovelle,Manteau,Almerel,Dilyne,Othreloth,,,,Ra'khajin,Tahari,
Sarandil,Valullinwe,,Trouble-Finder,Lifts-Her-Tail,,Thorinor,,,Maul,Stephange,Marcauld,Alonas,Dinaria,Relvi,,,,Ra'ri,Tahayda,
Sarodor,Vantorwen,,Turns-Tide,Makes-Many-Waves,,Thoron,,,Maxelot,Stephie,Marcott,Alven,Dinuro,Rendar,,,,Ra-shadda,Tajirri,
Sarohanar,Varfundore,,Twains-the-Night,Chastul,,Thragaer,,,Maxim,Surane,Marguenaut,Alvon,Dinya,Romoran,,,,Rabamak,Takhiri,
Sawoyewen,Vartilonwen,,Two-Scales,Cheemee,,Thragnor,,,Mederic,Suriel,Marquad,Alvos,Dira,Sarothril,,,,Rabamjhad,Tamaya,
Semial,Varumil,,Under-Clouds-Darkened,Deetaku,,Thrandion,,,Menehl,Susane,Maryon,Alvur,Diren,Sarvani,,,,Raban,Tamu,
Semiral,Varustante,,Walks-By-Starlight,Ghelaha,,Thranor,,,Menoit,Sybille,Mastersly,Ambarys,Direnna,Sedarys,,,,Radah,Taranbari-daro,
Sevilirion,Varwenra,,Walks-Softly,Itzaki,,Thraul,,,Merien,Sybilline,Mathierry,Amil,Dirilu,Selvayn,,,,Radash-dar,Taranza,
Silolthon,Vastarie,,Walks-Through-Fog,Kaska,,Thulendor,,,Merten,Sylvie,Matine,Andel,Dithisi,Sero,,,,Raebanji,Taseena,
Silvanir,Vatisse,,Walks-With-Mudcrabs,Minalz,,Tinzen,,,Merthyval,Tabakah,Matreinace,Anderin,Dolsia,Telendas,,,,Ragariz,Tashishi,
Simohil,Velandare,,Walks-with-Pride,Muhu,,Tralor,,,Merton,Taern,Maucroix,Andilo,Dolvara,Valen,,,,Rahti,Tasisa,
Sinaldurion,Velatosse,,Walks-with-Purpose,Mulishsi,,Trilion,,,Michaniel,Thais,Maurard,Andril,Domi,Varen,,,,Rainazh,Tasnasi,
Sincano,Velelya,,Walks-With-Rushes,Murrax,,Tuunnir,,,Michebert,Thayer,Mazure,Angaril,Donta,Veleth,,,,Rajarkir,Tazadra,
Sincantar,Velya,,Walks-With-Spirits,Narnum,,Uldwin,,,Micholas,Thella,Melie,Angarthal,Dorisa,Velothi,,,,Rakazsa,Tazia,
Siniel,Veranquel,,Wallows-Much,Teeteka,,Ulmion,,,Mirten,Theonique,Meriel,Anral,Dovesi,Veran,,,,Rakazuz,Tebeba,
Sinithrel,Veraye,,Wanders-In-Tatters,Tletva,,Ulonron,,,Mivier,Theophilia,Mielde,Anyn,Dradas,Veren,,,,Rakgul,Tebhuki,
Sinren,Vesteldore,,Watcher-From-Afar,Tlonanza,,Ulphroth,,,Morric,Thonine,Milvan,Arayni,Drala,Verethi,,,,Rakhad,Teifi,
Sintaananil,Vhasla,,Watches-Water,Tsleitzei,,Ultholon,,,Morten,Thylvie,Missonnier,Arelos,Dralane,Hlaalu,,,,Rakhhi,Tenobi,
Sinyaruton,Vilya,,Water-Chaser,Utazaw,,Ulthorn,,,Mortine,Tilelle,Monbault,Arelvam,Dralosa,Redoran,,,,Rakhzargo,Tesusah,
Sinyon,Vinafwe,,Weaves-Nets,Xinka,,Ulwemir,,,Morvan,Tremelle,Monstrose,Arendil,Drarana,Telvanni,,,,Rakzzin,Thabazi,
Sircantir,Vindare,,Weaves-One-Basket,Xureiik,,Ulwithor,,,Morven,Uaile,Montagne,Areth,Dratha,Dren,,,,Ralkash-dar,Thadanja,
Sirdor,Vindilween,,Wind-in-Sails,Beel-Ranu,,Ungaedal,,,Munche,Ursuline,Montarbault,Arethil,Drathyra,Areloth,,,,Ralkluz,Thadarra,
Soltarian,Vinelore,,Wins-Many-Contests,Jaree-Li,,Ungenor,,,Muran,Urvie,Montgren,Arilen,Dravusa,Dres,,,,Ranul,Thadharanji,
Sorangarion,Vintenwen,,Swims-at-Night,Jaxsik-Orrn,,Ungiras,,,Mylo,Urvien,Montue,Arith,Drayna,Indoril,,,,Ranza,Thaeduna,
Soraperil,Vinuuririe,,RedBramman,Jeer-Xu,,Ungrendor,,,Nael,Valana,Moorcroft,Aronel,Dredena,Andas,,,,Rathsaz,Thaezara,
Soraturil,Vinwinarin,,Wanum,Mani-Waza,,Urralosl,,,Nak'tah,Valarie,Morascel,Aroni,Dredyni,Faryon,,,,Rathul-do,Thahala,
Soravil,Vinwysea,,DalanSilver-Skin,Mewah-Jez,,Uwedrin,,,Nathaniel,Valentine,Morrard,Aroth,Dreska,Marys,,,,Rathzin,Thahiri,
Sorderion,Virenderil,,Wuthilul,Vistha-Mee,,Vicmond,,,Nellic,Valeriane,Mortieu,Arven,Dreyen,Sadri,,,,Ravius,Thajukki,
Soriel,Virurarie,,Ixtah-Nasha,Wud-Weska,,Virgeraurd,,,Nemic,Valerie,Muric,Arver,Dreyla,Athren,,,,Ravzo-dar,Thalara,
Soritirmo,Virwen,,Meeleeh-Een,Tlek,,Vole,,,Nepas,Valerine,Murien,Arverus,Drilame,Beleth,,,,Raynan,Thalbaza,
Sorondil,Virwillaure,,Mere-Glim,,,Eliras,,,Nicholas,Valessa,Nalskin,Aryo,Drissa,Drim,,,,Razigad,Thalinfar,
Sorriel,Volunidai,,Xhon-Mehl,,,Draeg,,,Nicolard,Valyrie,Narcien,Ashur,Drivanas,Falas,,,,Razum-dar,Thamaia,
Sortam,Wendlain,,Footfalls-in-Snow,,,Fenton,,,Nilas,Varisse,Nashrith,Athal,Drorayni,Girvu,,,,Razur,Thamisashi,
Sortuuya,Yalorasse,,Lonely-Spines,,,Thorongil,,,Nirine,Vaudrie,Natien,Athanas,Drurile,Hlan,,,,Rehan,Thanala,
Soryenil,Yaremanwe,,Binyaar,,,Alendis,,,Noah,Velica,Nelk,Athanden,Duldresi,Rethan,,,,Ren-dro,Thathali,
Sott,Zozubeth,,Danlai,,,Basth,,,Noloen,Vendi,Nerva,Athando,Dunveril,Elarven,,,,Renaku,Thazahrr,
Squan,Kianra,,Deerkaza,,,Haymon,,,Nombert,Verene,Niert,Athires,Durena,Adrys,,,,Renzaiq,Tinti,
Sulimir,Aranande,,Drameencin,,,Mankar,,,Nompar,Veroine,Normar,Athis,Duroni,Alor,,,,Renzir,Tirusa,
Sumiril,Ayrenn,,Eutei,,,Orben,,,Octin,Veronica,Northwind,Athones,Earila,Andalen,,,,Rezirjhan,Tiseini-ka,
Sunantor,Estre,,Hleelieek,,,Vanirion,,,Octivien,Veronique,Nosebreaker,Avo,Edrasa,Arobar,,,,Ri'Atahrashi,Tohiba,
Sununturil,Silhansa,,Jaraleet,,,,,,Odei,Versien,Nunier,Avos,Edrisi,Avani,,,,Ri'darakuz,Trezzi,
Surerdahen,Tuinden,,JaxatheHermit,,,,,,Olwin,Victrice,Ocella,Avys,Edryn,Darano,,,,Ri'hirr,Tsaba,
Surerndur,Arannelya,,Juunei,,,,,,Omistyr,Violette,Odette,Aymar,Edryno,Hlaren,,,,Ri'shalur,Tsamabi,
Surolmoril,Camilonwe,,Mach-Makka,,,,,,Ondre,Vireche,Oltz,Azaron,Edrys,Hlen,,,,Ri'zaadzin,Tsamara,
Suurelbrim,Ealdaawe,,Nomu,,,,,,Onfroi,Virgile,Oncent,Baem,Edwina,Hlor,,,,Ribazh,Tsanji,
Talambarel,Gialene,,Oleen,,,,,,Onri,Visanne,Ondare,Baladar,Eldrasea,Imayn,,,,Ribazhur,Tsaraba,
Talendil,Heron,,Olik-Jaa,,,,,,Ormax,Vistra,Onfroi,Baladas,Eldri,Maren,,,,Rid-Thar-ri'Datta,Tsarali,
Talerion,Peregrine,,Shehs,,,,,,Orrard,Vitache,Oresme,Baldan,Eldrilu,Othrys,,,,Rihahaz,Tsazii,
Talinturil,Raven,,Schiavas,,,,,,Orvel,Vivienne,Oris,Balen,Elitai,Sedas,,,,Rinam,Tsazrebi,
Talinus,Tuinden,,Thumarz,,,,,,Oscar,Vivonne,Ouren,Balras,Elmera,Selvayn,,,,Rinambar,Tsazura,
Talmo,,,Tsleeixth,,,,,,Oscard,Vyctarine,Panoit,Balver,Elneri,Tenim,,,,Rinami,Tsigara,
Talomar,,,Ullis,,,,,,Ouard,Vyctorelle,Pathierry,Balves,Elvasea,Alan,,,,Rinbu,Tsigila,
Talonir,,,Xucin,,,,,,Oubelic,Vyctoria,Paumier,Balvos,Elvasia,Andalas,,,,Runik,Tsirami,
Talqua,,,Gin-Rajul,,,,,,Ourson,Vylie,Pavelle,Balyn,Elyna,Arenim,,,,Runji,Tsirina,
Talviah,,,Mach-Makka,,,,,,Owayine,Xandria,Pellegrin,Balynor,Elynea,Aram,,,,Runtash,Tsradarri,
Tanacar,,,Reek-Koos,,,,,,Owen,Yasmine,Pendlesmith,Bando,Elynisi,Arethi,,,,S'jash,Tsrarranza,
Tanamo,,,Tee-Wan,,,,,,Paldrin,Ygerne,Peronard,Barayin,Enura,Arthalen,,,,S'kinrai,Tu'heiba,
Tandemen,,,Bathed-in-Steel,,,,,,Parelle,Ylanie,Peyron,Baren,Eraldine,Arvel,,,,S'rabbi,Tubabi,
Tangarion,,,Croon-Tail,,,,,,Parquier,Ysabeth,Phiencel,Barilzar,Erdyno,Aryon,,,,S'rashi,Tuhada,
Taningamen,,,Dives-From-Below,,,,,,Parsifal,Ysanne,Philippe,Baros,Erila,Berendas,,,,S'rathzo,Tuharrii,
Tanion,,,Drawing-Flame,,,,,,Pascal,Ysarne,Pierel,Barusil,Ernse,Delms,,,,S'vanez,Tukhari,
Taniril,,,Furl-Of-Fresh-Leaves,,,,,,Pascual,Ysausa,Pirouet,Barvyn,Eroni,Dalen,,,,S'virzum,Tulira,
Tanorian,,,Gash-Tail,,,,,,Patraud,Yseline,Praul,Barys,Ervona,Delvi,,,,S'zaram,Tumira,
Tanulad,,,Right-Foot-Rock,,,,,,Paulemond,Yurta,Quirin,Bedal,Ervyla,Denelu,,,,Sa'dir,Tunasi,
Tanulldel,,,River-Gills,,,,,,Paulin,Yvara,Rafelen,Beivis,Ervyna,Dorvayn,,,,Sabanurr,Tunsanti,
Tanulnyon,,,Scale-Song,,,,,,Pavel,Yvayne,Raiment,Beldun,Ervyni,Dral,,,,Sabashhad,Turami,
Taralqua,,,,,,,,,Percy,Yveline,Rambouze,Belos,Ervynu,Dralen,,,,Sabashur-dar,Turap'su,
Taredinion,,,,,,,,,Perien,Yvelle,Rangifer,Belron,Evessa,Dreloth,,,,Sabra,Udamaji,
Tarma,,,,,,,,,Perrine,Yveque,Rechiche,Belronen,Evisi,Drenim,,,,Saenssar,Udanta,
Tarmimn,,,,,,,,,Perrot,Yvon,Reille,Belvin,Evylu,Dreth,,,,Safik,Uhiratu,
Tarmultur,,,,,,,,,Perry,Zeli,Ren,Belvo,Fadile,Droth,,,,Safir,Umisashi,
Tarnamir,,,,,,,,,Peryn,Zelie,Renault,Belyn,Falan,Faren,,,,Sahalu,Unishi,
Tarnarrubel,,,,,,,,,Peverel,Zephyrine,Renoit,Benar,Falora,Fendyn,,,,Sahar,Unjasi,
Tarqualaite,,,,,,,,,Phaistyr,Zinadia,Restane,Benaril,Faltha,Gilvilo,,,,Sahaz,Urbani,
Taryetinar,,,,,,,,,Phane,Zinedine,Retene,Beneran,Falura,Girano,,,,Sahban,Urbinna,
Tauraniron,,,,,,,,,Phelain,Zizou,Reyneaux,Benus,Famdii,Girith,,,,Sakjhera,Urdaam,
Taurilfin,,,,,,,,,Phelibert,Zouzou,Richaut,Beranzen,Famyne,Lerano,,,,Salk,Urifa,
Taurimind,,,,,,,,,Philien,Zyssa,Riscel,Berel,Fanasa,Llaren,,,,Salkalar,Urilumezi,
Telacar,,,,,,,,,Philimac,Arielle,Rissiel,Berol,Fanisea,Mavani,,,,Salku,Urizali,
Telbincamo,,,,,,,,,Phinis,Claire,Robins,Beron,Farayn,Morvayn,,,,Sallit,Urjukka,
Teldigaran,,,,,,,,,Pierrand,Gabrielle,Rocque,Bertis,Farena,Mothril,,,,Sallum,Urjurra,
Teldur,,,,,,,,,Pierrant,Sorine,Roreles,Bervon,Faric,Nelvani,,,,Sallunas,Urzashi,
Telenger,,,,,,,,,Pierric,Amelia,Rorielle,Bethes,Farona,Oran,,,,Samamar,Uzipa,
Telmiltarion,,,,,,,,,Pierrie,Annaïg,Ruman,Beyta,Faryon,Orethi,,,,Samardan,Vabashi,
Telomure,,,,,,,,,Pilou,Arzhela,Ruqueville,Biiril,Farys,Releth,,,,Samari,Vahara,
Telonde,,,,,,,,,Piper,Amelie,Rusone,Bildren,Favani,Rendo,,,,Sanarskar,Vahazi,
Telonil,,,,,,,,,Porthippe,Cairine,Rye,Bilos,Favel,Renim,,,,Sanaz-dro,Vaifa,
Telonre,,,,,,,,,Praxin,Cayleigh,Saklin,Bilotan,Favela,Salen,,,,Sandu,Valashi,
Telorsar,,,,,,,,,Quentin,Edana,Santerre,Bivale,Fealu,Selvilo,,,,Sansen-do,Vanraja,
Telultur,,,,,,,,,Quentyn,Gyna,Sauvage,Bodsa,Fedrasa,Teryon,,,,Sanuzh,Varisipa,
Telyneyan,,,,,,,,,Quinton,Jyllia,Scraeg,Bolay,Feduria,Uveleth,,,,Sanzagh,Vasanha,
Temanros,,,,,,,,,Quintor,Malvina,Sele,Bolayn,Feldrasa,Vanos,,,,Sanzan-dar,Vath'ira,
Tendil,,,,,,,,,Raldan,Muriel,Serien,Bols,Feldsii,Varam,,,,Saparr,Vazbi,
Tendirrion,,,,,,,,,Rallaume,Prolyssa,Serouge,Bolyn,Felisa,Verethi,,,,Sarazi,Vinbaza,
Tendyederion,,,,,,,,,Ramis,Riane,Serpe,Boran,Felmina,Vidron,,,,Sattah,Vykosa,
Tenirtel,,,,,,,,,Ranser,Rosalyn,Seychelle,Boril,Felsa,Andavel,,,,Satuhaz,Watzhi,
Tenlethon,,,,,,,,,Raolin,Sorcha,Shaldon,Boryn,Fenila,Andoren,,,,Savar,Yabizah,
Tenunil,,,,,,,,,Raphael,Talara,Sidrey,Borynil,Ferdyn,Andrano,,,,Savfer,Yaduna,
Tenvaril,,,,,,,,,Raylen,Frieda,Silane,Bothus,Ferena,Andrethi,,,,Saviwa,Yahba,
Tesenmolin,,,,,,,,,Reges,,Simiseph,Bovis,Ferili,Andrilo,,,,Semusa,Yahirai,
Tessilstar,,,,,,,,,Remic,,Siniel,Bovoril,Ferva,Aralas,,,,Senadon,Yahiri,
Tesurcarion,,,,,,,,,Remius,,Souar,Bradil,Fethesena,Arano,,,,Senun,Yamaea,
Thelerodor,,,,,,,,,Renald,,Spletis,Bradyn,Fevila,Areleth,,,,Serarbar,Yamanu-ko,
Thenley,,,,,,,,,Renard,,Stenck,Braladar,Feyne,Arys,,,,Shaasharr,Yana,
Thetathor,,,,,,,,,Renardou,,Sterrien,Bralen,Fieria,Bandas,,,,Shaashuz,Yanadzi-jo,
Tholbor,,,,,,,,,Renchant,,Stoneshaper,Bralis,Filu,Balen,,,,Shajamah-ja,Yanata,
Thundermaul,,,,,,,,,Renoit,,Stower,Bralyn,Fonari,Barys,,,,Shalapaar,Yaniburr,
Tilarion,,,,,,,,,Renko,,Surilie,Brander,Fondryn,Belan,,,,Shalubar,Yansora,
Tilcalar,,,,,,,,,Renwic,,Surille,Brara,Foni,Betharvel,,,,Shalirr,Yansun,
Tildannire,,,,,,,,,Rerlas,,Sylbenitte,Bratheru,Fonira,Dalothran,,,,Shalubar,Yanu-ma,
Tildanyorion,,,,,,,,,Reynard,,Sylberfain,Bravosi,Forvse,Davel,,,,Shamal,Yasana,
Tildinbrim,,,,,,,,,Reynaud,,Tailies,Bravosil,Furoni,Dothan,,,,Shamuniz,Yazita,
Tildulon,,,,,,,,,Richard,,Talemelier,Bravynor,Furu,Drarara,,,,Shan-ra,Yenabi,
Tildur,,,,,,,,,Richarde,,Talnarith,Braynas,Fyrayn,Dravel,,,,Shando-ri,Yubika,
Tilmanar,,,,,,,,,Richien,,Taloet,Brelan,Fyrona,Drimas,,,,Shansi-sa,Yudashara,
Tilnygaran,,,,,,,,,Richion,,Tardif,Breleros,Gadila,Drivam,,,,Shantin,Yunala,
Timion,,,,,,,,,Richon,,Tauzin,Brethis,Gadsi,Falen,,,,Shapal-jo,Yuramla,
Timiwe,,,,,,,,,Ricque,,Teague,Breves,Galdas,Fanim,,,,Sharad,Yushiha,
Tinaducil,,,,,,,,,Robert,,Thal,Brevs,Galdsa,Galen,,,,Sharaddargo,Yutahbah,
Tirudilmo,,,,,,,,,Robier,,Thelin,Breynis,Galeri,Gilenim,,,,Sharazka,Zabani,
Tirwlurion,,,,,,,,,Robyn,,Thenitte,Breynshad,Galisa,Githalvel,,,,Sharazzur,Zabdi,
Trallilrion,,,,,,,,,Rocheric,,Throm,Brilnosu,Galori,Herano,,,,Sharjo,Zabhi,
Trallinarian,,,,,,,,,Rodednain,,Thybault,Brilyn,Galotha,Heryon,,,,Sharsheh,Zadai,
Trelano,,,,,,,,,Rodmand,,Tibbin,Briras,Galsi,Hleran,,,,Sharul,Zadala,
Tuindal,,,,,,,,,Rodolphe,,Toillier,Brivan,Galsu,Hloril,,,,Shavnargo,Zadaza,
Tuinorion,,,,,,,,,Rodynak,,Tramnil,Brothes,Galvene,Indalor,,,,Shazar,Zadazi,
Tuinvitar,,,,,,,,,Rogeraud,,Trebane,Buram,Galyn,Indavel,,,,Shelad,Zadeva,
Tuinylerion,,,,,,,,,Rogier,,Trebarne,Cadsu,Gami,Indoren,,,,Shelzaka,Zaeri,
Tumande,,,,,,,,,Rogolphe,,Treveur,Calden,Gandilla,Indrano,,,,Shikruz,Zahanabi,
Tumbadoril,,,,,,,,,Rohlbert,,Tussaud,Cason,Gariasa,Llandu,,,,Shiladur,Zaharai,
Tumbaril,,,,,,,,,Roland,,Ulanie,Charadin,Garil,Marethi,,,,Shiluk,Zahari,
Tumbomelion,,,,,,,,,Rolbert,,Urbyn,Cylben,Garila,Merys,,,,Shiniraer,Zahba,
Tuminderion,,,,,,,,,Romain,,Ursus,Daeril,Garyne,Nirith,,,,Shinizahr,Zaheida,
Turvon,,,,,,,,,Rurestian,,Valeine,Dalarn,Gelaa,Nithryon,,,,Shintah,Zahra,
Tusoril,,,,,,,,,Sadun,,Vallet,Daledan,Gelana,Omalor,,,,Shirnama,Zaiba,
Tymonir,,,,,,,,,Saehon,,Varin,Dalen,Gelii,Omayn,,,,Sholas-do,Zaimira,
Ulando,,,,,,,,,Salach,,Vautri,Dalim,Gena,Othran,,,,Sholbiri,Zaina,
Ularfire,,,,,,,,,Salazar,,Vedaine,Dalmir,Gindur,Othrelas,,,,Sholmargo,Zainabaza,
Ulcellore,,,,,,,,,Samiel,,Vierniss,Dalomar,Girara,Ralaal,,,,Shulargo,Zainjhad,
Ulcunariel,,,,,,,,,Sammis,,Vinetier,Dalosil,Girva,Randoro,,,,Shumishun,Zairan,
Ulymen,,,,,,,,,Sarvith,,Vinielle,Dalyn,Glistel,Relvi,,,,Shuzaad,Zairuni,
Umbelmion,,,,,,,,,Sebastian,,Viranes,Danaat,Godyna,Retheran,,,,Shuzul,Zaisashi,
Umbendon,,,,,,,,,Serge,,Virelande,Danar,Golena,Romori,,,,Sibud-ja,Zaizami,
Ummanor,,,,,,,,,Sergerien,,Volcy,Dandril,Golmerea,Rothalen,,,,Sigul-jo,Zajinni,
Ungalin,,,,,,,,,Sernays,,Vygant,Daneras,Golvy,Rothan,,,,Silat,Zalapu,
Ungdil,,,,,,,,,Serrien,,Vyger,Danir,Gorili,Sarandas,,,,Silhu-jo,Zalar-do,
Uranyon,,,,,,,,,Severin,,Vynier,Danmon,Grona,Sarano,,,,Sind,Zalasu,
Urcelmo,,,,,,,,,Silas,,Weller,Danus,Guroanii,Saren,,,,Sinin-sa,Zalayza,
Uricantar,,,,,,,,,Simine,,Wennell,Danys,Guronii,Sarvani,,,,Sinud,Zalema,
Urlurlarion,,,,,,,,,Sirion,,Wickton,Da'ravis,Gynisi,Savani,,,,Srozom,Zalinra,
Urluudomas,,,,,,,,,Solumor,,Zola,Daren,Hadrill,Seleth,,,,Subid,Zalirra,
Uryando,,,,,,,,,Sorais,,Hoinart,Darlas,Hala,Selobar,,,,Suhr,Zalmimi,
Uulafalmil,,,,,,,,,Soran,,Antieve,Darns,Hanala,Sethri,,,,Sumantharr,Zalsheem,
Uulion,,,,,,,,,Sosil,,Sorick,Daru,Hanu,Telas,,,,Tabil,Zalurrah,
Uurkar,,,,,,,,,Spencer,,Thenephan,Darvasen,Helma,Tharam,,,,Tadhargo,Zansora,
Vaerelel,,,,,,,,,Stefan,,Raze,Dastas,Helseth,Theran,,,,Tagin,Zara,
Vairabrian,,,,,,,,,Stenwick,,Bontecou,Dathus,Hlana,Thimalvel,,,,Tahar-dar,Zarri,
Vairalmil,,,,,,,,,Stephenn,,Lariat,Davak,Hlaren,Thirano,,,,Tahuda,Zashanti,
Valando,,,,,,,,,Stephile,,Larocque,Davenas,Hlava,Tobor,,,,Tajahir,Zashawi,
Valano,,,,,,,,,Sternis,,Mallon,Davur,Hlenia,Trandel,,,,Takaman,Zav'i,
Valarril,,,,,,,,,Stibbons,,Montrose,Daynas,Hlethena,Uvaril,,,,Takanasur,Zayansora,
Valderyorian,,,,,,,,,Stral,,Vardengroet,Daynil,Hlevala,Vadryon,,,,Takanazh,Zayaza,
Valiano,,,,,,,,,Strastnoc,,,Dedaenc,Hlisi,Varo,,,,Takanradh,Zaydi,
Valik,,,,,,,,,Sunel,,,Dedaenil,Hlura,Velendas,,,,Tamanat,Zayrah,
Valion,,,,,,,,,Suriel,,,Dedras,Holdala,Adren,,,,Tamruz,Zayreba,
Valnalmarin,,,,,,,,,Sutler,,,Del,Idari,Alen,,,,Tamshur,Zayri,
Valnil,,,,,,,,,Sylvain,,,Deleren,Idera,Alvor,,,,Tand,Zayshara,
Valnurion,,,,,,,,,Syndelius,,,Delmus,Idrasa,Andaren,,,,Tarak,Zazaahni,
Valorone,,,,,,,,,Tamien,,,Delos,Idren,Andoril,,,,Tarazdarr,Zazabhuki,
Valrendil,,,,,,,,,Telfour,,,Delvam,Idrenia,Androm,,,,Tarazur,Zazalah,
Valtarion,,,,,,,,,Tetra,,,Delvoni,Idria,Andromo,,,,Tarazuril,Zazanisa,
Valtir,,,,,,,,,Tevenot,,,Dendras,Idronea,Aralen,,,,Tarlar,Zazarghi,
Valunben,,,,,,,,,Theobald,,,Denthis,Idroni,Aralor,,,,Tasam-ri,Zazarni,
Valtuumetil,,,,,,,,,Theomund,,,Denus,Idula,Aravel,,,,Tashdu,Zebabi,
Vanando,,,,,,,,,Theophile,,,Dethis,Ienasa,Arelas,,,,Tasheer,Zebatba-ko,
Vancano,,,,,,,,,Therich,,,Dethisam,Iirila,Arethan,,,,Tashmin,Zebba,
Vancecarion,,,,,,,,,Therron,,,Devas,Ildari,Arothan,,,,Tashpir,Zemmarga,
Vancoldalion,,,,,,,,,Theyo,,,Diendus,Ildrasai-daro,Arovyn,,,,Tazzhid,Zenira,
Vandalion,,,,,,,,,Thibauld,,,Diiril,Ilmani,Athin,,,,Thalar,Zeria,
Vanderil,,,,,,,,,Thibault,,,Dilmus,Ilmeni,Avani,,,,Thannar,Zeriba,
Vandoril,,,,,,,,,Thibierry,,,Dils,Ilmyna,Avel,,,,Tiburr,Zessura,
Vandulyar,,,,,,,,,Thibret,,,Dithis,Indra,Balu,,,,Tishi,Zetisha,
Vanendil,,,,,,,,,Thierric,,,Div,Indrasa,Bandu,,,,Todrick,Zhininda,
Vanus,,,,,,,,,Thomase,,,Divayth,Indrasi,Baro,,,,Tsin'roh,Zibakka,
Varafalmil,,,,,,,,,Thorley,,,Dohna,Indrela,Belavel,,,,Tubidan,Zirani,
Varalladan,,,,,,,,,Tildus,,,Dolnus,Indrele,Belvayn,,,,Tulashurr,Zithana,
Vareldur,,,,,,,,,Timmon,,,Dolril,Indriian,Benethran,,,,Tullar-dra,Zithiri,
Varfandur,,,,,,,,,Timothee,,,Donen,Indririi,Beni,,,,Turan,Zukhara-daro,
Vatonyamil,,,,,,,,,Tolwin,,,Doril,Ineria,Bereloth,,,,Turo,Zunala,
Venayen,,,,,,,,,Tom,,,Dovor,Inisa,Bero,,,,Turshan-dar,Zurana,
Venerien,,,,,,,,,Topheric,,,Dovyn,Inise,Berothran,,,,Turuk,Zurka,
Verandis,,,,,,,,,Torvic,,,Dralas,Iriana,Beryon,,,,Tuzil-dro,Ashenfur,
Viivitar,,,,,,,,,Tourvic,,,Dralnas,Irileth,Bethendas,,,,Ubrarig,Bark-Scraper,
Vincalmo,,,,,,,,,Treves,,,Dram,Irna,Dalas,,,,Ubraz,Black-Paw,
Vincano,,,,,,,,,Trierre,,,Dranos,Irvina,Damori,,,,Udoro,Blood-Fangs,
Vindur,,,,,,,,,Tryste,,,Dranoth,Iry,Daram,,,,Ulabael,Broketooth,
Vinenoldil,,,,,,,,,Tsiniuc,,,Draren,Isabeau,Daren,,,,Ulibaz,Burnscar,
Vinganirne,,,,,,,,,Turenn,,,Drathus,Ithrini,Darenim,,,,Ulularr,Cleverclaws,
Vingarion,,,,,,,,,Tyree,,,Drathyn,Ivaynel,Darethran,,,,Ululmalit,CrazyEye,
Virumariel,,,,,,,,,Usquebald,,,Draval,Ivela,Darothren,,,,Unnur,Curled-Paw,
Voranil,,,,,,,,,Usquenot,,,Dravasa,Ivramia,Darvel,,,,Urjen,Damp-Tail,
Voranyarin,,,,,,,,,Utheccan,,,Dravil,Ivrisa,Daryon,,,,Uzarnaym,Dancer,
Vorundil,,,,,,,,,Vaford,,,Dravin,Ivrosa,Daveleth,,,,Uzarrur,Dawnwalker,
